#{"t_start": 1533039087.7004023, "env_id": "Hopper-v2"}
r,l,t
159.183358,96,13.440701
65.727763,67,13.470595
71.66203,45,13.4906
6.521021,29,13.503316
73.828872,43,13.521983
69.5701,42,13.540499
62.129634,50,13.562928
29.577644,31,13.576822
85.582077,49,13.598505
164.696634,120,13.651632
9.64757,11,13.656526
47.870648,29,13.669571
70.811328,46,13.689762
56.359977,34,13.704621
161.266596,77,13.738449
97.883421,54,13.762482
58.505086,35,13.777925
83.544233,49,13.799109
75.584065,45,13.819098
111.779523,60,13.845302
206.462048,106,14.386208
100.536379,54,14.409421
60.587305,36,14.42541
64.263531,39,14.442807
80.631538,46,14.462683
151.82588,81,14.498705
182.580458,95,14.540423
161.363321,78,14.574734
258.103907,121,14.627392
166.281457,89,14.666824
112.555408,66,14.695942
80.359763,48,14.716663
249.349512,151,14.781821
212.671126,111,14.830833
68.309344,40,14.848396
199.397639,112,14.897633
193.435339,92,14.938267
126.52221,65,14.966155
92.416035,54,14.989743
194.410838,119,15.04086
80.048889,57,15.066119
91.4602,74,15.098125
46.251443,27,15.109915
181.75237,91,15.14975
130.268008,75,15.181963
18.995001,16,15.189178
55.738619,34,15.204217
149.703303,74,15.236338
151.863562,78,15.270258
185.895055,104,15.316342
229.709051,130,15.37322
161.647085,81,15.408949
65.413009,39,15.426148
138.393692,79,15.460935
211.66198,124,15.515536
77.760304,49,15.536624
123.508422,67,15.565649
234.409943,109,15.61417
128.290232,78,15.648036
84.436872,57,15.6733
113.775897,64,15.701459
87.703167,62,15.728874
237.533869,114,15.778438
81.886693,52,15.801529
60.88,38,15.818363
155.169651,84,15.854667
101.270593,56,15.87934
74.930235,44,15.89888
9.272621,31,15.912481
96.194319,53,15.935887
146.370177,76,15.96907
136.153127,91,16.008919
169.836705,98,16.052005
113.165461,76,16.084683
104.865496,60,16.110797
136.993259,75,16.143408
92.366164,55,16.167575
75.615564,50,16.189106
52.695562,31,16.202561
223.990621,131,16.259277
183.319527,113,16.30812
109.126061,70,16.337902
62.109135,37,16.353992
185.727027,100,16.397246
154.911006,87,16.435022
125.351519,72,16.465979
196.681531,118,16.516784
54.055333,33,16.531114
111.784581,81,16.566667
94.772221,54,17.084587
188.578336,125,17.139621
67.97189,41,17.157753
162.595897,83,17.194195
223.946386,127,17.24985
178.305918,86,17.287283
75.444189,43,17.306
199.712808,98,17.3486
184.489196,120,17.400209
124.180593,67,17.429463
148.814782,80,17.464144
84.485258,48,17.485088
239.785104,120,17.537474
104.307426,70,17.568055
205.425945,107,17.614002
61.869859,37,17.630293
218.457288,97,17.672385
105.161178,71,17.703436
209.710725,98,17.74584
221.34757,106,17.791672
263.550074,144,17.854131
248.937933,132,17.911113
206.78537,98,17.953581
117.349352,64,17.981249
165.078174,82,18.016847
249.352156,145,18.081239
11.554789,16,18.08809
217.150184,103,18.132767
151.724149,74,18.165134
178.781827,98,18.207861
224.409981,106,18.254175
137.001366,71,18.284895
225.839672,108,18.331459
221.561737,108,18.377766
49.548351,30,18.391232
189.402383,87,18.429327
221.425677,98,18.472187
80.51491,47,18.492758
195.992271,106,18.538746
76.358774,47,18.558791
154.436231,81,18.594022
232.418869,108,18.641278
207.369043,103,18.685649
12.942005,14,18.691893
245.532788,107,18.738381
213.651315,107,18.784779
223.791781,107,18.831674
185.874245,86,18.86922
180.222413,99,18.911999
241.662259,118,18.963573
96.526651,53,18.986651
58.772698,36,19.002504
215.477197,106,19.048422
92.610069,54,19.071769
215.829383,109,19.119463
50.791656,31,19.133282
172.715152,92,19.173461
120.884722,77,19.207914
134.677657,72,19.741222
99.75224,63,19.769177
205.938429,96,19.81005
109.494763,69,19.838424
235.398146,113,19.885922
157.772537,81,19.919589
180.277398,91,19.957714
246.379521,126,20.010684
210.822827,101,20.053144
229.299976,119,20.102789
220.128991,96,20.142698
213.251256,103,20.185075
152.533649,75,20.216733
207.4336,102,20.259582
221.677645,105,20.303578
253.727898,140,20.36199
158.10269,81,20.395738
111.474053,62,20.42189
222.599574,109,20.467438
79.82431,52,20.489615
241.68252,114,20.537258
232.664605,118,20.586863
201.37331,108,20.632075
220.765094,107,20.67796
242.13848,145,20.741818
238.724437,152,20.809006
221.954839,105,20.855093
235.128149,127,20.910867
190.857389,102,20.955482
224.626778,97,20.998031
235.855904,106,21.043474
116.035767,65,21.072234
212.437695,101,21.11631
75.982449,50,21.138235
120.080546,65,21.166681
236.970119,115,21.216866
249.254818,149,21.281229
244.454479,124,21.335163
203.583844,116,21.384513
213.282001,112,21.432765
247.086622,136,21.492415
215.98678,107,21.538577
59.339466,38,21.555423
180.945331,101,21.599578
170.707005,96,21.641126
191.708893,104,21.686051
177.600436,87,21.724523
209.688446,104,21.770254
218.520696,115,21.820887
208.281604,105,21.866775
207.651954,112,22.374933
223.287801,111,22.421902
191.293246,86,22.457777
229.084521,113,22.504791
129.780738,68,22.533003
224.617573,113,22.580864
200.686925,105,22.625239
211.18317,99,22.666758
190.854373,120,22.717048
78.631791,54,22.739467
224.512952,111,22.786185
238.242124,136,22.843248
232.78603,113,22.890695
182.400604,104,22.934375
139.608447,69,22.96318
223.283865,102,23.005865
226.012688,114,23.054089
241.308583,117,23.104718
218.817282,110,23.152797
197.803519,96,23.194782
164.197325,88,23.232953
207.656595,91,23.273031
238.126675,116,23.323596
222.316399,120,23.375742
277.017105,157,23.443705
238.549272,115,23.492262
235.493237,104,23.537582
252.330232,120,23.59008
236.935971,118,23.641797
238.551659,117,23.692968
158.837292,74,23.725397
205.768636,102,23.770027
223.120401,120,23.822137
227.087865,108,23.868843
171.289104,95,23.909533
128.05653,67,23.938966
184.861263,90,23.97805
65.176521,38,23.994747
235.278597,103,24.039571
194.90311,109,24.086886
242.104701,113,24.136067
271.216839,165,24.208084
236.798061,125,24.262938
212.323687,103,24.307482
199.014839,96,24.349616
215.993273,112,24.397825
174.608218,86,24.435162
268.330839,126,24.489413
160.604353,91,25.027614
215.924652,95,25.067874
232.374168,104,25.111378
239.252941,112,25.158415
107.747845,59,25.183374
242.38866,110,25.229122
226.196372,118,25.27935
220.005287,100,25.32324
251.819027,125,25.378159
231.412383,110,25.426239
227.722683,103,25.471531
254.407533,120,25.523822
187.016363,95,25.565039
241.552437,115,25.61606
229.338045,109,25.663947
248.216657,123,25.717141
221.46176,103,25.762321
124.995911,67,25.791414
265.20354,119,25.843546
207.422786,108,25.890715
244.243378,117,25.942103
237.799332,120,25.994887
242.037506,117,26.046115
230.385158,111,26.094414
204.050612,106,26.140842
219.819901,110,26.188209
230.049264,101,26.231194
255.862948,120,26.283401
156.759861,86,26.321078
249.429676,125,26.375773
239.154116,119,26.427837
232.352405,113,26.47708
215.877688,109,26.524995
195.108291,100,26.568501
219.816145,108,26.615357
249.132741,113,26.66482
199.669498,108,26.711969
215.383322,103,26.756775
237.788216,124,26.810949
210.962743,104,26.856781
205.572868,94,26.897796
247.245166,121,26.950299
246.378001,126,27.005394
262.871072,132,27.063159
241.007437,121,27.116082
236.939102,108,27.16323
239.237328,115,27.682304
274.175878,120,27.739913
255.297239,128,27.801016
290.535619,129,27.86289
224.086066,106,27.913363
227.197792,111,27.966483
186.955905,92,28.010385
258.000088,119,28.067557
207.862215,94,28.112084
217.520436,113,28.166391
232.904311,117,28.222933
234.706888,114,28.277806
227.096377,111,28.330809
264.611468,129,28.392565
219.212892,100,28.440562
229.901382,109,28.492527
256.214642,135,28.557082
206.370725,98,28.603758
239.59257,112,28.657688
219.388036,104,28.70783
240.566926,106,28.758907
231.524544,112,28.812618
235.423893,105,28.863141
224.697999,104,28.913026
213.484443,107,28.964221
214.846725,101,29.012937
220.730272,98,29.059907
228.626193,118,29.116485
216.334791,99,29.16395
221.320119,103,29.213203
223.30814,110,29.266566
233.175724,108,29.318653
232.700498,108,29.370074
231.609236,129,29.43051
198.919926,101,29.478946
229.375137,115,29.533574
219.347592,107,29.584414
244.385803,119,29.640483
222.693167,113,29.69407
250.418554,115,29.747554
