#{"t_start": 1533039198.3577511, "env_id": "Hopper-v2"}
r,l,t
265.20354,119,25.961566
207.422786,108,26.008898
244.243378,117,26.060469
237.799332,120,26.113859
242.037506,117,26.165094
230.385158,111,26.21358
204.050612,106,26.260164
219.819901,110,26.308111
230.049264,101,26.352438
255.862948,120,26.404618
156.759861,86,26.44254
249.429676,125,26.497447
239.154116,119,26.549834
232.352405,113,26.599199
215.877688,109,26.647255
195.108291,100,26.690903
219.816145,108,26.738433
249.132741,113,26.787995
199.669498,108,26.835307
215.383322,103,26.880199
237.788216,124,26.934433
210.962743,104,26.979949
205.572868,94,27.020503
247.245166,121,27.072866
246.378001,126,27.128127
262.871072,132,27.186073
241.007437,121,27.239033
236.939102,108,27.286333
239.237328,115,27.822339
274.175878,120,27.872988
255.297239,128,27.926811
290.535619,129,27.982088
224.086066,106,28.026475
227.197792,111,28.07312
186.955905,92,28.11174
258.000088,119,28.161522
207.862215,94,28.200638
217.520436,113,28.248531
232.904311,117,28.298355
234.706888,114,28.346705
227.096377,111,28.394819
264.611468,129,28.452499
219.212892,100,28.493676
229.901382,109,28.540373
256.214642,135,28.600133
206.370725,98,28.643059
239.59257,112,28.692318
219.388036,104,28.738032
240.566926,106,28.784832
231.524544,112,28.834182
235.423893,105,28.880407
224.697999,104,28.926175
213.484443,107,28.973252
214.846725,101,29.018134
220.730272,98,29.061388
228.626193,118,29.113495
216.334791,99,29.157222
221.320119,103,29.202685
223.30814,110,29.251029
233.175724,108,29.298945
232.700498,108,29.343605
231.609236,129,29.399513
198.919926,101,29.444248
229.375137,115,29.495981
219.347592,107,29.542125
244.385803,119,29.595894
222.693167,113,29.647166
250.418554,115,29.698817
235.227885,111,29.749147
230.053824,114,29.801034
225.657458,108,29.850357
122.364236,66,29.87974
214.170407,102,29.926243
225.443028,102,30.464051
261.184463,131,30.519979
235.091273,116,30.56943
223.849927,110,30.615941
215.632477,102,30.65911
237.529775,107,30.704781
246.313486,122,30.758181
267.361766,123,30.812419
