entloss,EpisodesSoFar,EpThisIter,EpRewMean,TimestepsSoFar,optimgain,TimeElapsed,ev_tdlam_before,surrgain,entropy,EpLenMean,meankl
0.0,2436,6,2315.9662720110987,589683,0.024017792,303.90335488319397,0.7231565713882446,0.024017792,3.2271497,733.625,0.006497766
0.0,2444,8,2252.728866262853,594251,0.023162851,306.4935214519501,0.8915070369839668,0.023162851,3.2554948,712.25,0.006031653
0.0,2452,8,2179.1041101195833,599784,0.027676178,309.0091645717621,0.8392454832792282,0.027676178,3.2225413,690.85,0.006495825
0.0,2457,5,2291.3092649565183,604784,0.023489624,311.57634472846985,0.12270212173461914,0.023489624,3.2279072,729.05,0.007270281
0.0,2462,5,2394.9678581253697,609782,0.022400564,314.14434027671814,0.4467355012893677,0.022400564,3.215448,762.525,0.0058448226
0.0,2468,6,2503.9995600824814,614993,0.023177987,316.6500699520111,0.7409338355064392,0.023177987,3.2084038,797.275,0.006087381
0.0,2473,5,2521.56408337024,619111,0.01961423,319.27123641967773,0.787562370300293,0.01961423,3.2265563,800.55,0.006355167
0.0,2479,6,2590.277160294454,624498,0.024198055,321.8692741394043,0.7279627919197083,0.024198055,3.2406008,825.5,0.0071080993
0.0,2487,8,2681.742319692458,629849,0.023218552,324.4730679988861,0.9337986409664154,0.023218552,3.2274249,852.875,0.0062534595
0.0,2493,6,2643.1082768640963,634284,0.022493266,327.0409495830536,0.8412516713142395,0.022493266,3.224462,837.5,0.0068114884
0.0,2500,7,2555.088351174316,639949,0.02415979,329.52963423728943,0.7932215332984924,0.02415979,3.222681,804.175,0.0065488783
0.0,2505,5,2537.01440088959,644403,0.024023844,332.1090075969696,0.6628986299037933,0.024023844,3.234741,797.375,0.00665672
0.0,2511,6,2520.4275828511736,649146,0.023238586,334.6421928405762,0.682713657617569,0.023238586,3.247461,793.625,0.006009667
0.0,2518,7,2493.127690618513,654805,0.02371023,337.2285931110382,0.8594951778650284,0.02371023,3.2706316,782.675,0.0069904425
0.0,2523,5,2556.925183096063,659241,0.025562353,339.82043647766113,0.6774921119213104,0.025562353,3.28492,804.425,0.006680712
0.0,2529,6,2624.9752741961756,664926,0.023249056,342.3649878501892,0.7196989953517914,0.023249056,3.2815914,830.075,0.0065699266
0.0,2535,6,2629.8562140575705,669492,0.021141931,344.98293447494507,0.8477785438299179,0.021141931,3.2829664,830.2,0.0067644706
0.0,2541,6,2672.4956106128802,674753,0.022716668,347.5324401855469,0.7510146945714951,0.022716668,3.294165,845.1,0.006317912
0.0,2547,6,2585.007887315559,679102,0.021689698,350.0773696899414,0.7405135035514832,0.021689698,3.3078914,817.475,0.006912982
0.0,2555,8,2546.4177681764622,684970,0.023992276,352.54381346702576,0.8078106790781021,0.023992276,3.2922423,806.5,0.0069681914
0.0,2561,6,2504.3288334836097,689112,0.024308,355.09669613838196,0.9258029758930206,0.024308,3.2770061,791.3,0.0075548063
0.0,2567,6,2504.1686895154226,694906,0.022395533,357.7503366470337,0.38759928941726685,0.022395533,3.2860103,792.0,0.006070762
0.0,2574,7,2482.804871818372,699983,0.02275817,360.3811912536621,0.7898419797420502,0.02275817,3.277832,785.35,0.0068124253
0.0,2579,5,2463.8084023043775,704500,0.022217156,362.9235076904297,0.4517999291419983,0.022217156,3.2919927,781.525,0.006607364
0.0,2584,5,2580.101916155666,709500,0.024623523,365.45374727249146,0.5024856925010681,0.024623523,3.2833257,819.35,0.0069184355
0.0,2589,5,2630.2179995917877,714500,0.025248999,368.0001859664917,0.37086957693099976,0.025248999,3.2799132,834.95,0.0066790087
0.0,2595,6,2741.4266878632925,719815,0.024251284,370.6023659706116,0.6720477044582367,0.024251284,3.2945626,871.125,0.006031546
0.0,2600,5,2813.2433704171076,724057,0.021950087,373.2285141944885,0.5240090787410736,0.021950087,3.286867,894.575,0.005927441
0.0,2605,5,2829.023960229285,729036,0.023233443,375.83918619155884,0.532316118478775,0.023233443,3.288941,898.1,0.0063479054
0.0,2611,6,2899.1875507005198,734427,0.019972023,378.3391423225403,0.5321869850158691,0.019972023,3.2928488,922.9,0.005964461
0.0,2618,7,2795.770290622679,739368,0.025495946,380.8554573059082,0.8498744815587997,0.025495946,3.2886655,884.625,0.006914733
0.0,2623,5,2820.005530182305,744251,0.0238653,383.44279193878174,0.6288971304893494,0.0238653,3.3041997,893.775,0.0061103827
0.0,2631,8,2611.2370474772956,749472,0.019355688,386.02022218704224,0.8270963877439499,0.019355688,3.3304746,824.3,0.0056051505
0.0,2636,5,2655.0460633170073,754472,0.02388776,388.57530450820923,0.038601040840148926,0.02388776,3.3504329,841.425,0.0065180548
0.0,2642,6,2637.998014740955,759414,0.023350097,391.08228850364685,0.7476586103439331,0.023350097,3.3542237,833.925,0.0060683107
0.0,2647,5,2636.55298670942,764414,0.022062374,393.5892312526703,0.374420702457428,0.022062374,3.3570828,834.45,0.006231462
0.0,2654,7,2659.125845590394,769951,0.023178821,396.25383949279785,0.6968512237071991,0.023178821,3.3800156,839.025,0.0065922486
0.0,2661,7,2577.799629388218,774953,0.027009944,398.79480266571045,0.705492377281189,0.027009944,3.368558,814.625,0.0063560065
0.0,2666,5,2648.1237789433862,779953,0.025591047,401.413626909256,0.41424399614334106,0.025591047,3.3817081,835.8,0.0067060213
0.0,2671,5,2802.8741022784025,784813,0.02085882,403.93949031829834,0.8559524863958359,0.02085882,3.3775594,883.525,0.006079484
0.0,2678,7,2667.7912694970714,789926,0.021347955,406.466903924942,0.738256961107254,0.021347955,3.377048,838.275,0.00641978
0.0,2683,5,2738.873985035883,794926,0.024148555,409.00001668930054,-0.012678146362304688,0.024148555,3.3750892,862.8,0.0064897486
0.0,2688,5,2739.1596865895326,799926,0.021587323,411.50902366638184,0.1267436146736145,0.021587323,3.3780625,862.8,0.0062239436
0.0,2693,5,2829.253808669067,804922,0.023630118,414.0275249481201,0.4721757769584656,0.023630118,3.3715758,891.525,0.0065434463
0.0,2700,7,2832.4634082127354,809519,0.03230902,416.52706694602966,0.965068057179451,0.03230902,3.3725305,889.15,0.006759022
0.0,2705,5,2813.4873200704856,814273,0.021658087,419.08674240112305,0.48192399740219116,0.021658087,3.3859637,883.0,0.0064762696
0.0,2712,7,2686.4302683249816,819750,0.029133404,421.6230640411377,0.3881961703300476,0.029133404,3.378019,848.425,0.0065323547
0.0,2718,6,2749.3990151617395,824711,0.025417358,424.2321124076843,0.610181450843811,0.025417358,3.3785439,869.625,0.0066703567
0.0,2723,5,2725.3530290127624,829402,0.024586499,426.7194490432739,0.4112115502357483,0.024586499,3.379143,861.9,0.007699216
0.0,2728,5,2724.1175396251283,834402,0.025066758,429.2200243473053,0.0771220326423645,0.025066758,3.3744004,861.9,0.0070226835
0.0,2734,6,2680.801029046216,839771,0.028693488,431.77517199516296,0.38681715726852417,0.028693488,3.3437781,849.35,0.006908957
0.0,2739,5,2794.680780879337,844442,0.021954557,434.3599669933319,0.41665446758270264,0.021954557,3.3373964,887.65,0.0066065476
0.0,2744,5,2830.7031892431414,849442,0.023279281,436.94827151298523,0.15792089700698853,0.023279281,3.340969,898.075,0.0062210998
0.0,2750,6,2856.387215649235,854767,0.022741426,439.5721514225006,0.5777628421783447,0.022741426,3.3391411,902.6,0.007314849
0.0,2756,6,2922.043901684962,859452,0.022612609,442.11381816864014,0.853999063372612,0.022612609,3.3565571,918.525,0.0067853713
0.0,2761,5,2895.3363051497354,864028,0.022044705,444.7055048942566,0.25211405754089355,0.022044705,3.354401,907.925,0.007215594
0.0,2767,6,2845.847150862343,869120,0.026861731,447.31290459632874,0.027460932731628418,0.026861731,3.3512063,892.95,0.007057422
0.0,2773,6,2822.334154416337,874100,0.027771594,449.91803073883057,0.6829698383808136,0.027771594,3.3541176,883.225,0.0064954697
0.0,2779,6,2808.9277408682815,879606,0.025497427,452.5323598384857,0.5663338005542755,0.025497427,3.3348367,879.1,0.007316665
0.0,2785,6,2776.9703235540064,884910,0.02327937,455.0870671272278,0.4804665446281433,0.02327937,3.3481383,870.1,0.007084021
0.0,2791,6,2751.5379668312585,889624,0.025544455,457.65507411956787,0.7301926612854004,0.025544455,3.3117974,862.725,0.0070063155
0.0,2797,6,2768.867992539008,894982,0.022149397,460.15939688682556,0.4136696457862854,0.022149397,3.322628,873.85,0.006795177
0.0,2803,6,2642.439129218252,899374,0.02539355,462.7307608127594,0.7192545533180237,0.02539355,3.2949202,833.65,0.006338964
0.0,2808,5,2702.064794543686,904247,0.02585008,465.35661697387695,0.4573754072189331,0.02585008,3.2895808,853.175,0.0065701194
0.0,2814,6,2750.233474213102,909928,0.020043973,467.9545304775238,0.4164165258407593,0.020043973,3.2952902,870.7,0.007071446
0.0,2819,5,2784.669536601322,914928,0.02293568,470.50174498558044,-0.0068666934967041016,0.02293568,3.2966235,883.05,0.006446672
0.0,2825,6,2745.9189566960536,919730,0.02200494,473.06053709983826,0.6225818693637848,0.02200494,3.2896793,870.5,0.0072470796
0.0,2831,6,2769.4780473890787,924707,0.020742068,475.6439435482025,0.7340849041938782,0.020742068,3.2906187,877.075,0.006600932
0.0,2837,6,2766.2056788485106,929993,0.021362884,478.22296619415283,0.3867015838623047,0.021362884,3.296877,875.275,0.0066196504
0.0,2842,5,2830.980097132831,934444,0.022642707,480.7834861278534,0.48019421100616455,0.022642707,3.3039477,894.4,0.0061552664
0.0,2847,5,2862.8821508562096,939444,0.024055349,483.37828397750854,0.0885777473449707,0.024055349,3.2994626,904.925,0.0064104754
0.0,2854,7,2770.717217059101,944906,0.021206684,485.99828267097473,0.646165668964386,0.021206684,3.3034425,874.45,0.0064440323
0.0,2860,6,2703.525654315872,949899,0.021510376,488.64138531684875,0.7192310988903046,0.021510376,3.2891781,849.275,0.006192567
0.0,2866,6,2706.963681988119,954701,0.020596247,491.2514867782593,0.7337417602539062,0.020596247,3.2852848,849.275,0.0064692963
0.0,2873,7,2649.844447525371,959847,0.023041401,493.8145616054535,0.9111160933971405,0.023041401,3.296996,828.5,0.006455751
0.0,2878,5,2663.965090635088,964272,0.023573214,496.4234924316406,0.4573403596878052,0.023573214,3.282098,831.975,0.0069015715
0.0,2884,6,2686.2336433809533,969937,0.024164993,498.99469017982483,0.5812877416610718,0.024164993,3.2864,837.325,0.0063861674
0.0,2890,6,2669.2894174266867,974762,0.020843098,501.5346853733063,0.7440348863601685,0.020843098,3.2829664,830.65,0.006666408
0.0,2895,5,2753.288517513466,979594,0.023282072,504.0954999923706,0.44941532611846924,0.023282072,3.277739,856.725,0.007255313
0.0,2900,5,2778.9736034124735,984594,0.023261148,506.64642238616943,0.010893821716308594,0.023261148,3.3029768,867.375,0.005624593
0.0,2906,6,2804.90101356601,989746,0.027258307,509.3595221042633,0.6303097903728485,0.027258307,3.3174129,876.125,0.007368665
0.0,2912,6,2812.9035963047913,994512,0.024037542,511.9256417751312,0.7216717898845673,0.024037542,3.2895434,879.6,0.006503701
0.0,2918,6,2844.0762614822243,999879,0.02110075,514.4533293247223,0.3744014501571655,0.02110075,3.2868419,890.175,0.0064559295
0.0,2925,7,2711.058315481703,1004888,0.028312445,517.0925841331482,0.667459100484848,0.028312445,3.2673416,848.775,0.0063897045
