#{"env_id": "Hopper-v2", "t_start": 1533045696.2523017}
r,l,t
121.132874,63,12.261467
117.493007,64,12.287914
10.995993,15,12.294191
70.259137,42,12.311975
32.718695,36,12.327156
18.809695,18,12.33473
75.762664,53,12.357025
127.910075,76,12.38887
114.399347,60,12.414016
69.568751,42,12.431636
126.619021,78,12.465351
148.616978,79,12.500029
91.089011,52,12.522328
154.388788,91,12.561888
139.472336,77,12.595186
93.96436,53,12.617922
97.673065,60,12.644414
66.679554,43,12.66289
122.279095,74,12.694679
153.107526,86,12.732158
8.806286,10,12.736683
118.399716,83,12.774153
52.703371,39,12.791371
73.464715,44,12.810909
90.58883,58,12.836705
102.63407,57,12.861541
39.990183,31,12.8752
218.374225,114,12.925426
41.931184,40,12.943283
84.840723,64,12.971714
208.788733,105,13.017828
118.644963,68,13.048177
210.789038,98,13.090755
89.318018,51,13.11319
74.898385,47,13.133855
89.976416,51,13.156482
79.644263,50,13.177779
88.158163,58,13.203348
148.875065,78,13.237811
79.710878,54,13.261652
70.361594,44,13.28045
84.879695,53,13.303434
56.233164,34,13.318447
69.873599,46,13.338783
15.99613,29,13.351718
159.183358,96,13.393531
65.727763,67,13.423196
71.66203,45,13.443043
6.521021,29,13.455833
73.828872,43,13.474332
69.5701,42,13.492514
62.129634,50,13.514749
29.577644,31,13.528521
85.582077,49,13.550215
164.696634,120,13.602937
9.64757,11,13.607814
47.870648,29,13.620801
70.811328,46,13.640962
56.359977,34,13.655899
161.266596,77,13.689471
97.883421,54,13.713276
58.505086,35,13.728705
83.544233,49,13.75002
75.584065,45,13.769922
111.779523,60,13.795714
206.462048,106,14.332758
100.536379,54,14.356019
60.587305,36,14.371827
64.263531,39,14.388624
80.631538,46,14.407977
151.82588,81,14.443061
182.580458,95,14.483693
161.363321,78,14.516929
258.103907,121,14.568313
166.281457,89,14.606437
112.555408,66,14.634931
80.359763,48,14.655204
249.349512,151,14.721038
212.671126,111,14.769125
68.309344,40,14.786337
199.397639,112,14.835042
193.435339,92,14.874918
126.52221,65,14.902997
92.416035,54,14.92671
194.410838,119,14.977945
80.048889,57,15.003131
91.4602,74,15.035023
46.251443,27,15.046561
181.75237,91,15.08592
130.268008,75,15.117674
18.995001,16,15.12477
55.738619,34,15.139635
149.703303,74,15.171379
151.863562,78,15.204955
185.895055,104,15.250433
229.709051,130,15.304986
161.647085,81,15.338525
65.413009,39,15.354995
138.393692,79,15.388829
211.66198,124,15.44172
77.760304,49,15.462924
123.508422,67,15.491273
234.409943,109,15.53719
128.290232,78,15.569937
84.436872,57,15.594949
113.775897,64,15.622817
87.703167,62,15.649856
237.533869,114,15.698846
81.886693,52,15.721973
60.88,38,15.738714
155.169651,84,15.77471
101.270593,56,15.799181
74.930235,44,15.818576
9.272621,31,15.832079
96.194319,53,15.855266
146.370177,76,15.888134
136.153127,91,15.927429
169.836705,98,15.9698
